<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: WHY_Executive_Demo_Dataset.csv>index,Date,YearMonth,Year,MonthNo,Month,Country Code,Country,Sales Channel Code,Sales Channel,Product Group Code,Product Group,Gross Revenue,Currency
0,2025-01-01,2025-01,2025,1,Jan,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,120967.68,EUR
1,2026-01-01,2026-01,2026,1,Jan,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,117599.12,EUR
2,2025-02-01,2025-02,2025,2,Feb,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,125545.95,EUR
3,2026-02-01,2026-02,2026,2,Feb,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,120876.34,EUR
4,2025-03-01,2025-03,2025,3,Mar,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,130282.43,EUR
5,2026-03-01,2026-03,2026,3,Mar,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,123000.99,EUR
6,2025-04-01,2025-04,2025,4,Apr,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,133092.84,EUR
7,2026-04-01,2026-04,2026,4,Apr,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,80866.65,EUR
8,2025-05-01,2025-05,2025,5,May,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,135648.23,EUR
9,2026-05-01,2026-05,2026,5,May,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,60863.48,EUR
10,2025-06-01,2025-06,2025,6,Jun,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,138173.06,EUR
11,2026-06-01,2026-06,2026,6,Jun,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,54246.79,EUR
12,2025-07-01,2025-07,2025,7,Jul,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,143610.91,EUR
13,2026-07-01,2026-07,2026,7,Jul,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,60408.96,EUR
14,2025-08-01,2025-08,2025,8,Aug,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,159570.52,EUR
15,2026-08-01,2026-08,2026,8,Aug,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,77563.49,EUR
16,2025-09-01,2025-09,2025,9,Sep,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,179939.43,EUR
17,2026-09-01,2026-09,2026,9,Sep,FR,France,DIRECT,Direct Sales,CE,Consumer Electronics,100920.4,EUR
18,2025-01-01,2025-01,2025,1,Jan,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,21798.38,EUR
19,2026-01-01,2026-01,2026,1,Jan,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,21605.12,EUR
20,2025-02-01,2025-02,2025,2,Feb,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,23078.3,EUR
21,2026-02-01,2026-02,2026,2,Feb,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,22956.94,EUR
22,2025-03-01,2025-03,2025,3,Mar,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,24430.39,EUR
23,2026-03-01,2026-03,2026,3,Mar,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,24390.06,EUR
24,2025-04-01,2025-04,2025,4,Apr,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,25459.05,EUR
25,2026-04-01,2026-04,2026,4,Apr,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,25462.94,EUR
26,2025-05-01,2025-05,2025,5,May,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,26469.47,EUR
27,2026-05-01,2026-05,2026,5,May,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,26521.25,EUR
28,2025-06-01,2025-06,2025,6,Jun,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,27504.3,EUR
29,2026-06-01,2026-06,2026,6,Jun,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,27607.72,EUR
30,2025-07-01,2025-07,2025,7,Jul,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,29161.85,EUR
31,2026-07-01,2026-07,2026,7,Jul,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,29324.1,EUR
32,2025-08-01,2025-08,2025,8,Aug,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,31732.77,EUR
33,2026-08-01,2026-08,2026,8,Aug,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,31966.57,EUR
34,2025-09-01,2025-09,2025,9,Sep,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,34734.81,EUR
35,2026-09-01,2026-09,2026,9,Sep,FR,France,DIRECT,Direct Sales,IND,Industrial Solutions,35053.36,EUR
36,2025-01-01,2025-01,2025,1,Jan,FR,France,DIRECT,Direct Sales,SVC,Services & Support,13479.41,EUR
37,2026-01-01,2026-01,2026,1,Jan,FR,France,DIRECT,Direct Sales,SVC,Services & Support,13322.05,EUR
38,2025-02-01,2025-02,2025,2,Feb,FR,France,DIRECT,Direct Sales,SVC,Services & Support,13986.85,EUR
39,2026-02-01,2026-02,2026,2,Feb,FR,France,DIRECT,Direct Sales,SVC,Services & Support,13874.02,EUR
40,2025-03-01,2025-03,2025,3,Mar,FR,France,DIRECT,Direct Sales,SVC,Services & Support,14511.65,EUR
41,2026-03-01,2026-03,2026,3,Mar,FR,France,DIRECT,Direct Sales,SVC,Services & Support,14446.94,EUR
42,2025-04-01,2025-04,2025,4,Apr,FR,France,DIRECT,Direct Sales,SVC,Services & Support,15124.19,EUR
43,2026-04-01,2026-04,2026,4,Apr,FR,France,DIRECT,Direct Sales,SVC,Services & Support,15084.01,EUR
44,2025-05-01,2025-05,2025,5,May,FR,France,DIRECT,Direct Sales,SVC,Services & Support,15725.98,EUR
45,2026-05-01,2026-05,2026,5,May,FR,France,DIRECT,Direct Sales,SVC,Services & Support,15712.56,EUR
46,2025-06-01,2025-06,2025,6,Jun,FR,France,DIRECT,Direct Sales,SVC,Services & Support,16342.36,EUR
47,2026-06-01,2026-06,2026,6,Jun,FR,France,DIRECT,Direct Sales,SVC,Services & Support,16357.89,EUR
48,2025-07-01,2025-07,2025,7,Jul,FR,France,DIRECT,Direct Sales,SVC,Services & Support,16992.39,EUR
49,2026-07-01,2026-07,2026,7,Jul,FR,France,DIRECT,Direct Sales,SVC,Services & Support,17039.19,EUR
50,2025-08-01,2025-08,2025,8,Aug,FR,France,DIRECT,Direct Sales,SVC,Services & Support,18133.01,EUR
51,2026-08-01,2026-08,2026,8,Aug,FR,France,DIRECT,Direct Sales,SVC,Services & Support,18215.66,EUR
52,2025-09-01,2025-09,2025,9,Sep,FR,France,DIRECT,Direct Sales,SVC,Services & Support,19661.21,EUR
53,2026-09-01,2026-09,2026,9,Sep,FR,France,DIRECT,Direct Sales,SVC,Services & Support,19786.27,EUR
54,2025-01-01,2025-01,2025,1,Jan,FR,France,ONLINE,Online,CE,Consumer Electronics,14579.78,EUR
55,2026-01-01,2026-01,2026,1,Jan,FR,France,ONLINE,Online,CE,Consumer Electronics,14409.71,EUR
56,2025-02-01,2025-02,2025,2,Feb,FR,France,ONLINE,Online,CE,Consumer Electronics,15590.68,EUR
57,2026-02-01,2026-02,2026,2,Feb,FR,France,ONLINE,Online,CE,Consumer Electronics,15465.07,EUR
58,2025-03-01,2025-03,2025,3,Mar,FR,France,ONLINE,Online,CE,Consumer Electronics,16846.24,EUR
59,2026-03-01,2026-03,2026,3,Mar,FR,France,ONLINE,Online,CE,Consumer Electronics,16771.28,EUR
60,2025-04-01,2025-04,2025,4,Apr,FR,France,ONLINE,Online,CE,Consumer Electronics,17738.24,EUR
61,2026-04-01,2026-04,2026,4,Apr,FR,France,ONLINE,Online,CE,Consumer Electronics,17691.31,EUR
62,2025-05-01,2025-05,2025,5,May,FR,France,ONLINE,Online,CE,Consumer Electronics,18434.97,EUR
63,2026-05-01,2026-05,2026,5,May,FR,France,ONLINE,Online,CE,Consumer Electronics,18419.44,EUR
64,2025-06-01,2025-06,2025,6,Jun,FR,France,ONLINE,Online,CE,Consumer Electronics,18946.11,EUR
65,2026-06-01,2026-06,2026,6,Jun,FR,France,ONLINE,Online,CE,Consumer Electronics,18964.33,EUR
66,2025-07-01,2025-07,2025,7,Jul,FR,France,ONLINE,Online,CE,Consumer Electronics,20052.46,EUR
67,2026-07-01,2026-07,2026,7,Jul,FR,France,ONLINE,Online,CE,Consumer Electronics,20107.91,EUR
68,2025-08-01,2025-08,2025,8,Aug,FR,France,ONLINE,Online,CE,Consumer Electronics,22674.02,EUR
69,2026-08-01,2026-08,2026,8,Aug,FR,France,ONLINE,Online,CE,Consumer Electronics,22777.59,EUR
70,2025-09-01,2025-09,2025,9,Sep,FR,France,ONLINE,Online,CE,Consumer Electronics,26003.15,EUR
71,2026-09-01,2026-09,2026,9,Sep,FR,France,ONLINE,Online,CE,Consumer Electronics,26168.83,EUR
72,2025-01-01,2025-01,2025,1,Jan,FR,France,ONLINE,Online,IND,Industrial Solutions,15763.65,EUR
73,2026-01-01,2026-01,2026,1,Jan,FR,France,ONLINE,Online,IND,Industrial Solutions,15697.72,EUR
74,2025-02-01,2025-02,2025,2,Feb,FR,France,ONLINE,Online,IND,Industrial Solutions,17195.59,EUR
75,2026-02-01,2026-02,2026,2,Feb,FR,France,ONLINE,Online,IND,Industrial Solutions,17185.71,EUR
76,2025-03-01,2025-03,2025,3,Mar,FR,France,ONLINE,Online,IND,Industrial Solutions,18953.92,EUR
77,2026-03-01,2026-03,2026,3,Mar,FR,France,ONLINE,Online,IND,Industrial Solutions,19011.41,EUR
78,2025-04-01,2025-04,2025,4,Apr,FR,France,ONLINE,Online,IND,Industrial Solutions,20358.67,EUR
79,2026-04-01,2026-04,2026,4,Apr,FR,France,ONLINE,Online,IND,Industrial Solutions,20457.14,EUR
80,2025-05-01,2025-05,2025,5,May,FR,France,ONLINE,Online,IND,Industrial Solutions,21583.64,EUR
81,2026-05-01,2026-05,2026,5,May,FR,France,ONLINE,Online,IND,Industrial Solutions,21726.99,EUR
82,2025-06-01,2025-06,2025,6,Jun,FR,France,ONLINE,Online,IND,Industrial Solutions,22628.13,EUR
83,2026-06-01,2026-06,2026,6,Jun,FR,France,ONLINE,Online,IND,Industrial Solutions,22819.23,EUR
84,2025-07-01,2025-07,2025,7,Jul,FR,France,ONLINE,Online,IND,Industrial Solutions,24431.31,EUR
85,2026-07-01,2026-07,2026,7,Jul,FR,France,ONLINE,Online,IND,Industrial Solutions,24681.71,EUR
86,2025-08-01,2025-08,2025,8,Aug,FR,France,ONLINE,Online,IND,Industrial Solutions,27054.22,EUR
87,2026-08-01,2026-08,2026,8,Aug,FR,France,ONLINE,Online,IND,Industrial Solutions,27380.31,EUR
88,2025-09-01,2025-09,2025,9,Sep,FR,France,ONLINE,Online,IND,Industrial Solutions,30117.28,EUR
89,2026-09-01,2026-09,2026,9,Sep,FR,France,ONLINE,Online,IND,Industrial Solutions,30534.64,EUR
90,2025-01-01,2025-01,2025,1,Jan,FR,France,ONLINE,Online,SVC,Services & Support,9747.73,EUR
91,2026-01-01,2026-01,2026,1,Jan,FR,France,ONLINE,Online,SVC,Services & Support,8969.97,EUR
92,2025-02-01,2025-02,2025,2,Feb,FR,France,ONLINE,Online,SVC,Services & Support,10421.57,EUR
93,2026-02-01,2026-02,2026,2,Feb,FR,France,ONLINE,Online,SVC,Services & Support,9496.02,EUR
94,2025-03-01,2025-03,2025,3,Mar,FR,France,ONLINE,Online,SVC,Services & Support,11258.63,EUR
95,2026-03-01,2026-03,2026,3,Mar,FR,France,ONLINE,Online,SVC,Services & Support,10157.17,EUR
